,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2023,107494,Trey Sanders,RB,Alabama,Big Ten,0.0713,0.0116,0.1426,0.0733,0.087,0.04,0.109,0.033,,,72.0,,,,1.0,,,56.0,0.0,,,0.0,,0.0,6.0,0.0,1.0,,2.0,0.0,2.0,,,369.0,,4.4,,9.2,333,West,11.0,15,13,2,0,9,8,1,0,7,7,0,0,4,3,1,0,367,9,17,6,6,15,2,189,7,2,480,20,5073,571,380,15,48,107,990,29142,2,260,33,548,21,2250,57,119,117,225,7323,13,,No
1,2023,3118460,Tony Fair,DL,Auburn,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,1.0,2.0,,0.0,1.5,9.0,,,,,,,,2,West,6.3,13,6,7,0,8,3,5,0,7,4,3,0,5,2,3,0,271,13,23,8,4,13,2,110,4,0,621,27,3121,455,267,9,17,73,598,21736,1,204,23,443,22,2096,36,97,74,184,5217,12,,No
2,2023,4029790,Jaylan Foster,DB,South Carolina,Big Ten,,,,,,,,,,7.8,,,,,,5.0,,0.0,,0.0,,3.0,,1.0,,2.0,66.0,,0.0,5.0,96.0,,,33.0,,,,,2579,East,6.9,13,7,6,0,8,3,5,0,7,5,2,0,5,1,4,0,227,14,28,13,13,13,3,296,11,0,479,21,2615,360,211,15,22,76,597,23417,0,80,12,467,9,1773,26,63,60,170,4388,24,,No
3,2023,4032754,Jahmir Johnson,OL,Mississippi State,Big Ten,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,344,West,6.1,13,7,6,0,8,4,4,0,7,4,3,0,5,3,2,0,330,10,16,8,6,13,0,99,9,1,766,31,4918,704,518,11,37,99,760,26243,0,151,22,270,10,821,28,70,79,172,5739,17,,No
4,2023,4034552,Bydarrius Knighten,DB,Auburn,Big Ten,,,,,,,,,,0.0,,,,,,2.0,,,,,,2.0,,0.0,,0.0,30.0,,0.0,0.5,46.0,,,0.0,,,,,2,West,6.3,13,6,7,0,8,3,5,0,7,4,3,0,5,2,3,0,271,13,23,8,4,13,2,110,4,0,621,27,3121,455,267,9,17,73,598,21736,1,204,23,443,22,2096,36,97,74,184,5217,12,,No
5,2023,4034959,Jeremiah Moon,LB,Florida,Big Ten,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,2.0,20.0,,0.0,3.5,49.0,,,,,,,,57,East,8.3,13,6,7,0,8,2,6,0,6,5,1,0,5,1,4,0,291,14,26,3,4,13,0,43,18,0,413,26,3304,416,265,9,27,104,918,23790,0,176,25,495,26,2714,36,81,72,174,6018,21,,No
6,2023,4034963,Rick Wells,WR,Florida,Big Ten,0.032,0.0662,0.0021,0.036,0.034,0.023,0.013,0.041,,,1.0,,,,,,,36.0,,,,0.0,,0.0,24.0,0.0,1.0,,3.0,0.0,1.0,,,269.0,,10.0,,10.8,57,East,8.3,13,6,7,0,8,2,6,0,6,5,1,0,5,1,4,0,291,14,26,3,4,13,0,43,18,0,413,26,3304,416,265,9,27,104,918,23790,0,176,25,495,26,2714,36,81,72,174,6018,21,,No
7,2023,4035016,Julian Rochester,DL,Georgia,Big Ten,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,2.0,,0.0,1.0,4.0,,,,,,,,61,East,13.9,15,14,1,0,9,8,1,0,6,6,0,0,4,4,0,0,339,8,14,5,7,15,4,265,12,0,322,17,3778,407,264,16,39,77,648,27499,1,317,33,545,29,2864,49,99,77,172,6642,17,,No
8,2023,4035055,Zach Johnson,DB,Kentucky,Big Ten,,,,,,,,,,14.4,,,,,,,,27.0,,18.0,,0.0,,0.0,,0.0,2.0,,0.0,0.0,2.0,,,259.0,,,,,96,East,8.5,13,10,3,0,8,5,3,0,7,6,1,0,5,3,2,0,296,6,16,10,3,13,3,188,13,0,301,22,2933,366,242,9,24,63,548,25425,1,165,16,496,27,2594,29,79,76,151,5527,23,,No
9,2023,4035059,Grant McKinniss,P,Missouri,Big Ten,,,,,,,,,,,,,,,,,25.0,60.0,,49.0,,,,,,,,0.0,,,,,,2027.0,,,41.4,,142,East,3.9,13,6,7,0,8,3,5,0,7,5,2,0,5,1,4,0,282,11,19,2,5,13,1,91,11,1,621,34,3036,455,301,11,19,83,770,23636,0,69,14,464,22,2342,29,83,84,190,5378,13,,No
10,2023,4035065,Justin Rigg,TE,Kentucky,Big Ten,0.0258,0.057,0.0,0.0243,0.04,0.007,0.031,0.035,,0.0,,,,,1.0,,,34.0,0.0,1.0,,,,,20.0,,,,4.0,,,,,189.0,,,,9.5,96,East,8.5,13,10,3,0,8,5,3,0,7,6,1,0,5,3,2,0,296,6,16,10,3,13,3,188,13,0,301,22,2933,366,242,9,24,63,548,25425,1,165,16,496,27,2594,29,79,76,151,5527,23,,No
