,Season,PlayerId,Player,Position,Team,Conference,Usage Overall,Usage Pass,Usage Rush,Usage FirstDown,Usage SecondDown,Usage ThirdDown,Usage StandardDowns,Usage PassingDowns,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,TeamId,Division,ExpectedWins,Total Games,Total Wins,Total Losses,Total Ties,ConferenceGames Games,ConferenceGames Wins,ConferenceGames Losses,ConferenceGames Ties,HomeGames Games,HomeGames Wins,HomeGames Losses,HomeGames Ties,AwayGames Games,AwayGames Wins,AwayGames Losses,AwayGames Ties,Team firstDowns,Team fourthDownConversions,Team fourthDowns,Team fumblesLost,Team fumblesRecovered,Team games,Team interceptionTDs,Team interceptionYards,Team interceptions,Team kickReturnTDs,Team kickReturnYards,Team kickReturns,Team netPassingYards,Team passAttempts,Team passCompletions,Team passesIntercepted,Team passingTDs,Team penalties,Team penaltyYards,Team possessionTime,Team puntReturnTDs,Team puntReturnYards,Team puntReturns,Team rushingAttempts,Team rushingTDs,Team rushingYards,Team sacks,Team tacklesForLoss,Team thirdDownConversions,Team thirdDowns,Team totalYards,Team turnovers,Stars,Transfer_Portal
0,2021,3858274,Luc Bequette,DL,California,PAC12,,,,,,,,,,,,,,,,,,,,,,4.0,,0.0,,3.5,15.0,,0.0,4.5,41.0,,,,,,,,25,North,6.1,12,5,7,0,9,4,5,0,6,4,2,0,6,1,5,0,228,9,27,2,7,12,1,28,8,1,491,18,2659,382,235,13,16,74,694,21905,0,100,14,402,17,1970,23,64,68,167,4629,10,,No
1,2021,3926231,Britain Covey,WR,Utah,PAC12,0.0785,0.1478,0.0236,0.0706,0.087,0.083,0.063,0.103,,44.7,14.0,,,,2.0,,,230.0,0.0,41.0,,0.0,,0.0,52.0,0.0,1.0,,9.0,0.0,1.0,,,1400.0,,7.1,,9.9,254,South,10.2,14,10,4,0,10,9,1,0,6,6,0,0,6,3,3,0,339,11,24,7,8,14,3,149,8,1,413,16,3000,401,254,10,24,67,623,25898,2,454,30,545,37,3035,42,98,82,170,6035,15,,No
2,2021,4028215,Quincy Jountti,RB,USC,PAC12,,,,,,,,,,11.0,,,,,,,,11.0,,1.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,1.0,,,11.0,,,,,30,South,3.5,12,4,8,0,9,3,6,0,7,2,5,0,5,2,3,0,309,10,15,7,5,12,1,60,13,0,617,28,3580,500,318,14,21,95,895,22656,0,76,16,401,16,1747,21,52,80,179,5327,20,,No
3,2021,4030943,Micah Croom,DB,USC,PAC12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,2.0,,0.0,0.0,2.0,,,,,,,,30,South,3.5,12,4,8,0,9,3,6,0,7,2,5,0,5,2,3,0,309,10,15,7,5,12,1,60,13,0,617,28,3580,500,318,14,21,95,895,22656,0,76,16,401,16,1747,21,52,80,179,5327,20,,No
4,2021,4031110,John Stivers,TE,Arizona State,PAC12,,,,,,,,,,0.0,,,,,,,,0.0,,1.0,,,,,,,,,0.0,,,,,0.0,,,,,9,South,9.2,13,8,5,0,9,6,3,0,7,6,1,0,5,2,3,0,260,9,14,12,5,13,2,229,10,0,681,37,2530,313,206,16,12,113,1015,22955,0,255,21,495,34,2514,27,75,67,150,5044,22,,No
5,2021,4034857,Patrick O'Brien,QB,Washington,PAC12,0.0065,0.0095,0.003,0.0031,0.004,0.018,0.005,0.013,3.0,,2.0,1.0,,,,0.0,,13.0,,,0.333,,,,,,,,0.0,,,,,13.0,0.3,6.0,,,264,North,4.5,12,4,8,0,9,3,6,0,7,2,5,0,5,2,3,0,216,10,23,7,6,12,0,171,16,0,491,26,2700,409,243,10,15,51,474,20614,0,106,19,370,16,1181,19,61,75,169,3881,23,,No
6,2021,4035167,Jarrett Guarantano,QB,Washington State,PAC12,0.069,0.1026,0.0272,0.0688,0.074,0.065,0.057,0.075,49.0,,19.0,33.0,,,,3.0,,12.0,,,0.673,,,,,,,,1.0,,,,,298.0,6.2,-0.3,,,265,North,5.6,13,7,6,0,9,6,3,0,7,4,3,0,5,3,2,0,263,9,24,5,18,13,1,183,13,0,439,27,3345,452,281,15,26,69,603,23826,0,148,14,403,19,1587,21,69,67,170,4932,18,,No
7,2021,4035251,Kellen Diesch,OL,Arizona State,PAC12,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,9,South,9.2,13,8,5,0,9,6,3,0,7,6,1,0,5,2,3,0,260,9,14,12,5,13,2,229,10,0,681,37,2530,313,206,16,12,113,1015,22955,0,255,21,495,34,2514,27,75,67,150,5044,22,,No
8,2021,4035274,Kenny Hebert,LB,Arizona,PAC12,,,,,,,,,,16.0,,,,,,1.0,,,,,,1.0,,1.0,,1.0,20.0,,0.0,4.0,38.0,,,16.0,,,,,12,South,1.9,12,1,11,0,9,1,8,0,6,1,5,0,5,0,5,0,248,18,28,5,3,12,1,89,18,0,483,27,2716,444,268,4,12,105,845,21767,1,202,23,426,6,1556,22,69,61,190,4272,23,,No
9,2021,4035312,Anthony Brown,QB,Oregon,PAC12,0.572,0.9534,0.2515,0.5366,0.593,0.621,0.4,0.778,390.0,,151.0,250.0,,,4.0,7.0,,43.0,3.0,,0.641,0.0,,0.0,0.0,0.0,1.0,,27.0,0.0,1.0,,,3647.0,7.7,4.4,,,2483,North,9.8,14,10,4,0,10,7,3,0,7,7,0,0,5,3,2,0,318,9,19,6,7,14,1,162,8,0,808,38,3098,410,259,17,20,103,905,25005,0,170,17,535,36,2833,23,72,91,180,5931,14,,No
